Point X,Point Y,Planting Site Id,Updated At,Updated By,Tree Id,Tree Present,Genus,Species,Cultivar,Other Part Of Name,Common Name,Diameter,Tree: Height,block_fips
-78.912009,36.01356792,2590437,2020-03-30T19:57:30.510395+00:00,DanHickey,2305040,True,Pistacia,chinensis,,,Chinese pistache,6.0,20-40,370630003012013
-78.9318178688,35.9562788475,3313673,2020-07-02T12:20:47.495190+00:00,DanHickey,2948072,True,Magnolia,grandiflora,,,Southern magnolia,10.0,0-20,370630020072004
-78.8800610435,35.9940981676,3166488,2018-06-07T15:52:42.964667+00:00,AlexJohnson,,False,,,,,,,,370630010011005
-78.8917976618,35.9998519902,3214263,2018-10-23T18:15:49.263253+00:00,Dbh99999,,False,,,,,,,,370630009002018
-78.9199894208,35.989890679,3191527,2018-07-30T13:40:50.621717+00:00,KPIGNONE,,False,,,,,,,,370630005004004
-78.8883114606,36.0003418564,3214455,2018-10-24T17:41:40.458293+00:00,Dbh99999,,False,,,,,,,,370630009002011
-78.8866687998,35.9710200736,3175252,2018-06-29T14:26:17.282549+00:00,Dbh99999,,False,,,,,,,,370630014001011
-78.9056907593,35.9674083921,3179960,2018-07-11T13:09:22.070499+00:00,Dbh99999,,False,,,,,,,,370630013032008
-78.88940787,36.00546542,3213982,2020-03-30T19:32:11.710380+00:00,DanHickey,2853364,True,Cercis,chinensis,,,Chinese redbud,3.0,0-20,370630002002003
-78.9318237778,35.9563212707,3313674,2020-07-02T12:23:04.244719+00:00,DanHickey,2948073,True,Magnolia,grandiflora,,,Southern magnolia,10.0,0-20,370630020072004
-78.91212732,36.0138056,2589768,2020-03-30T19:35:27.703974+00:00,DanHickey,2304371,True,Quercus,bicolor,,,Swamp white oak,3.0,0-20,370630003012012
-78.90684086,35.98723293,2555811,2020-03-30T19:43:39.053034+00:00,DanHickey,2270501,True,Ulmus,americana,,,American elm,4.0,0-20,370630023001016
-78.8800888136,35.9942324158,3166489,2018-06-07T15:51:21.880439+00:00,AlexJohnson,,False,,,,,,,,370630010011005
-78.9092360437,36.0123033038,3186786,2018-07-23T16:19:49.351059+00:00,Dbh99999,,False,,,,,,,,370630003022004
-78.90704468,35.98717653,2555815,2020-03-30T19:32:12.020986+00:00,DanHickey,2270505,True,Ulmus,americana,,,American elm,3.0,0-20,370630023001016
-78.8892325808,36.0051461633,3213983,2018-10-22T13:17:32.185282+00:00,Dbh99999,,False,,,,,,,,370630002002003
-78.8918030262,35.9997814666,3214264,2018-10-23T18:15:40.203644+00:00,Dbh99999,,False,,,,,,,,370630009002018
-78.8883389533,36.0004313665,3214456,2018-10-24T17:41:26.222478+00:00,Dbh99999,,False,,,,,,,,370630009002000
-78.8868531828,35.9708706249,3175253,2018-06-29T14:28:25.141403+00:00,KPIGNONE,,False,,,,,,,,370630014001010
-78.9058708792,35.9675157266,3179961,2018-07-11T13:09:56.876277+00:00,Dbh99999,,False,,,,,,,,370630013032008
-78.9252837,35.98682792,3192270,2020-03-30T19:43:24.588436+00:00,DanHickey,2838317,True,Acer,buergerianum,,,Trident maple,5.0,0-20,370630006001002
-78.9318477571,35.9563033555,3313675,2020-07-02T12:21:22.847320+00:00,DanHickey,2948074,True,Magnolia,grandiflora,,,Southern magnolia,10.0,0-20,370630020072004
-78.8800581798,35.9940240172,3166490,2018-06-07T15:53:18.907534+00:00,AlexJohnson,,False,,,,,,,,370630010011005
-78.93110869,36.01989861,3268539,2020-03-30T20:14:07.946795+00:00,DanHickey,2906911,True,Acer,rubrum,,,Red maple,21.0,60-80,370630004012005
-78.9088028669,36.0121969927,3186787,2018-07-23T17:55:39.539013+00:00,Dbh99999,,False,,,,,,,,370630003022006
-78.90718952,35.98712118,2555053,2020-03-30T20:23:24.637947+00:00,DanHickey,2269743,True,Quercus,nigra,,,Water oak,30.0,20-40,370630023001016
-78.92500341,35.98668359,3192271,2020-03-30T20:31:16.774772+00:00,DanHickey,2838318,True,Quercus,phellos,,,Willow oak,49.0,80+,370630006001001
-78.891813755,35.9996849034,3214265,2018-10-23T18:15:51.861429+00:00,Dbh99999,,False,,,,,,,,370630009002018
